jeune,young,youthful,new,juvenile,immature,fresh
le plaisir,pleasure,enjoyment,delight,fun,joy,satisfaction
emploi,job,employment,position,post,occupation,work
le patron,boss,employer,chief,manager,head,leader
sentiment,feeling,emotion,sensation,mood,impression,notion
le côté,side,edge,part,direction,aspect,team
le monde,world,earth,planet,country,place,universe
devoir,to have to,see,test,obligation,need,should
stupide,stupid,dumb,foolish,silly,idiotic,unintelligent
ennuyeux,boring,dull,tedious,tiresome,monotonous,uninteresting
mec,guy,dude,bloke,fellow,chap,man
chute,fall,drop,descent,decline,plunge,tumble
goutte,drop,drip,fall,speck,dab,smidgen
le café,coffee,drink,café,beverage,morning,cafe
le jus,juice,drink,beverage,fruit,liquid,fresh
le thé,tea,drink,beverage,herbal,hot,infusion
le vin,wine,drink,alcohol,red,white,beverage
point,point,dot,spot,mark,location,punct
fenêtre,window,door,glass,opening,view,frame
papier,paper,document,note,article,sheet,material
disque,disc,disk,record,plate,vinyl,album
numéro,number,digit,figure,code,issue,edition
la table,table,desk,furniture,surface,board,meal
le bureau,office,desk,study,workplace,study room,administration
table,table,desk,chair,counter,board,surface
souhait,wish,desire,hope,aspiration,prayer,yearning
l'échec,failure,defeat,loss,setback,collapse,miss
mort,death,decease,demise,passing,end,perishing
la vie,life,death,existence,day,time,world
accord,agreement,deal,pact,treaty,accord,understanding
la nuit,night,day,evening,dark,time,sleep
la semaine,week,day,month,year,time,period
le matin,morning,day,evening,night,dawn,sunrise
rendez-vous,appointment,date,meeting,rendezvous,engagement,appointment
obscurité,darkness,dark,obscurity,shadow,gloom,blackness
danse,dance,dancing,choreography,ballet,movement,rhythm
le beurre,butter,dairy,spread,fat,yellow,cooking
le lait,milk,dairy,drink,white,product,breakfast
papa,dad,daddy,father,pop,papa,pa
présent,present,current,now,gift,here,existing
équipe,team,crew,squad,group,party,unit
le collègue,colleague,coworker,associate,partner,teammate,workmate
campagne,countryside,country,rural area,field,farm,village
compte,account,count,calculation,tally,bill,statement
le prix,price,cost,value,rate,amount,charge
le cœur,heart,core,center,love,beat,feeling
froid,cold,cool,chilly,icy,frigid,unfriendly
la différence,difference,contrast,variation,distinction,disparity,gap
moderne,modern,contemporary,up-to-date,new,current,progressive
conduite,driving,conduct,behavior,management,leadership,operation
état,state,condition,status,province,nation,republic
la fin,end,conclusion,finish,termination,close,ending
inquiétude,worry,concern,anxiety,unease,apprehension,nervousness
plein,full,complete,filled,packed,crowded,whole
l'ami,friend,companion,pal,buddy,partner,acquaintance
rare,rare,common,usual,ordinary,frequent,scarce
ordre,order,command,direction,instruction,arrangement,sequence
retour,return,coming back,back,reverse,reply,rebound
futur,future,coming,upcoming,next,prospective,forthcoming
allons-y,let's go,come on,shall we,wait a minute,stop,go there
le blanc,white,color,pure,snow,light,blank
le bleu,blue,color,azure,sky,ocean,sadness
le brun,brown,color,tan,earth,wood,chocolate
le gris,grey,color,gray,ash,dull,neutral
le jaune,yellow,color,gold,sun,lemon,caution
le noir,black,color,dark,evil,night,absence
le rose,pink,color,rose,flower,soft,romantic
le rouge,red,color,scarlet,crimson,blood,passion
le vert,green,color,emerald,grass,nature,envy
monnaie,change/money,coin,cash,currency,bill,banknote
le thé,tea,coffee,wine,juice,milk,water
thé,tea,coffee,drink,milk,juice,herb
le bus,bus,coach,vehicle,transport,route,stop
la clé,key,clue,solution,lock,door,secret
ciel,sky/heaven,cloud,space,air,sun,star
vêtements,clothes,clothing,garments,apparel,attire,wear
fermeture,closing,closure,shutdown,lock,fastening,seal
l'hôpital,hospital,clinic,medical,health,doctor,emergency
le client,customer,client,guest,patron,buyer,consumer
cours,course,class,lesson,stream,flow,rate
chef,boss,chief,leader,head,manager,commander
major,major,chief,principal,important,significant,main
œuf,egg,chicken,bird,yolk,white,omelette
chèque,check,cheque,bank check,payment,instrument,bill
le pharmacien,pharmacist,chemist,druggist,medicine,store,health
beurre,butter,cheese,oil,cream,margarine,fat
la viande,meat,cheese,bread,the fish,the vegetables,the fruit
contrôle,control,check,oversight,supervision,regulation,command
lettre,letter,character,alphabet,note,correspondence,script
président,president,chairman,chief,leader,head,chief executive
le milieu,middle,center,midst,medium,average,environment
le téléphone portable,mobile phone,cellphone,smartphone,device,call,mobile
étoile,star,celestial body,celebrity,luminary,asterisk,stellar
la raison,reason,cause,logic,mind,sanity,why
classe,class,category,grade,rank,level,social class
capture,capture,catch,seizure,apprehension,arrest,grab
l'argent,money,cash,wealth,coin,bill,fortune
l'infirmière,nurse,caregiver,medical,assistant,health,hospital
le chocolat,chocolate,candy,sweet,dessert,cocoa,bar
boîte,box,can,tin,container,case,crate
tranquillité,tranquility,calm,peace,quiet,serenity,stillness
le taxi,taxi,cab,ride,driver,car,transport
au revoir,goodbye,bye,see you,hello,good night,thanks
donc,so/therefore,but,and,or,then,because
si,if/so,but,and,or,then,yes
entreprise,company,business,firm,enterprise,corporation,venture
balle,ball,bullet,sphere,orb,globe,projectile
copain,friend,buddy,pal,chum,mate,companion
la sœur,sister,brother,family,daughter,mother,aunt
large,grand,broad,spacious,ample,extensive
la lumière,light,brightness,illumination,daylight,gleam,beam
court,short,brief,small,concise,curtailed,near
le fromage,cheese,bread,the milk,the water,the meat,the fruit
​le fromage blanc,curd,cheese,bread,leaven,ferment,barm
le fils,son,boy,child,daughter,father,brother
la limite,limit,boundary,edge,maximum,restriction,border
rocher,rock,boulder,cliff,crag,stone,ledge
stand,stand,booth,stall,kiosk,post,platform
couverture,cover,blanket,coverage,protection,shield,layer
morceau,piece,bit,fragment,chunk,portion,scrap
la bicyclette,bicycle,bike,cycle,ride,wheel,pedal
boisson,drink,beverage,liquid,refreshment,potion,libation
l'ami,friend,best friend,companion,pal,partner,family
devant,in front of,behind,next to,above,below,inside
après,after,before,during,while,until,since
depuis,since/for,before,after,during,until,ago
pendant,during,before,after,while,until,since
vin,wine,beer,alcohol,drink,whiskey,champagne
viande,meat,beef,pork,chicken,fish,vegetable
rythme,rhythm,beat,tempo,cadence,pulse,measure
combat,fight,battle,combat,struggle,conflict,warfare
toilettes,toilet/restroom,bathroom,lavatory,WC,loo,restroom
groupe,group,band,team,cluster,set,collection
bien,well/good,bad,okay,fine,nice,great
bon,good,bad,nice,well,fine,great
le public,public,audience,crowd,people,general,open
attaque,attack,assault,offense,strike,onslaught,aggression
la main,hand,arm,palm,finger,help,side
la compétition, competition, contest, rivalry, tournament, matchup, challenge
la défense, defense, protection, safeguard, resistance, justification, advocacy
la bonté, goodness, kindness, benevolence, virtue, decency, generosity
l'événement, event, occurrence, happening, incident, occasion, affair
la période, period, era, phase, interval, time span, epoch
la forme, shape, form, figure, appearance, condition, format
l'enfer, hell, inferno, underworld, damnation, torment, abyss
le téléphone, telephone, phone, cellphone, landline, call, device
la demande, request, application, demand, inquiry, petition, claim
la subvention, grant, subsidy, funding, aid, allowance, endowment
l'affaire, affair, matter, business, case, deal, scandal
la tombe, grave, tomb, burial site, sepulcher, resting place, area
le géant, giant, colossus, titan, behemoth, monster, huge person
la plante, plant, vegetation, flora, seedling, herb, bush
le site, site, location, place, spot, website, area
la déclaration, declaration, announcement, assertion, testimony,place
la hausse, rise, increase, surge, upturn, growth, boost
la veste, jacket, coat, blazer, windbreaker, outerwear,custom
la miséricorde, mercy, compassion, pity, clemency, forgiveness, grace
l'interrupteur, switch, button, toggle, breaker, lever, figures
le repas, meal, repast, dinner, lunch, rest, repair
la direction, direction, way, guidance, management, heading, instruction
les données, data, information, facts, statistics, records, figures
la corne, horn, antler, trumpet, bugle, protrusion,corner
l'avocat, attorney, lawyer, barrister, solicitor, counsel,avocado
l'officiel, official, officer, authority, formal, authorized person,ofice
le rat, rat, rodent, informer, snitch, betrayer,rank
la pizza, pizza, pie, Italian dish, flatbread, takeaway food,permis
le choc, shock, impact, collision, trauma, surprise, jolt
la soupe, soup, broth, potage, chowder, consommé,side
le courage, courage, bravery, valor, boldness, guts, nerve
le jaune, yellow, gold, lemon, canary, amber, saffron
l'emplacement, location, position, site, spot, place, venue
l'imbécile, jerk, fool, fish, blockhead, dumb
le chocolat, chocolate, cocoa, sweet, candy, bar, dessert
l'image, image, photo, representation, impression, figure
habituel, regular, usual, customary, normal, habitual, ordinary
le taxi, taxi, cab, taxicab, ride, hire car,tax
la pisse, piss, urine, pee, wee, urination,piece
la blessure, wound, injury, lesion, cut, trauma, hurt
l'assiette, plate, dish, saucer, platter, dinner plate,assistant
la télévision, television, TV, telly, screen, broadcast,cord
le monstre, freak, monster, beast, creature, weirdo, oddity
la circulation, traffic, flow, circulation, movement, currency, betrayer
l'aube, dawn, daybreak, sunrise, morning light, aurora, guts
le poison, poison, toxin, venom, contaminant, bane, place
le mystère, mystery, enigma, puzzle, secret, riddle,people
l'indien, indian, Native American, from India, indigenous,,strike
le bang, bang, explosion, loud noise, crash, report,finger
la maladie, disease, malfare, sickness, ailment, disorder, tournament
l'italien, italian, from Italy, Italian language, Italic,, resistance
le rôle, role, part, function, character, duty, virtue
les fesses, butt, buttocks, bottom, rear, backside, incident
la victoire, victory, win, triumph, success, conquest, interval
le piège, trap, snare, ambush, pitfall, lure, appearance
la nation, nation, country, state, people, land, damnation
le désir, desire, wish, longing, craving, passion, landline
minuit, midnight, twelve o'clock, dead of night, witching hour,, inquiry
le jury, jury, panel, judges, adjudicators,, aid
le rendez-vous, appointment, date, meeting, rendezvous, engagement, case
la nage, swim, swimming, stroke, dip, bathe, sepulcher
le courrier, mail, post, correspondence, letters, delivery, behemoth
les vacances, vacation, holidays, leave, break, time off, seedling
la source, source, origin, spring, fountain, root, spot
l'usine, factory, plant, mill, works, manufactory, assertion
le palais, palace, mansion, royal residence, court, hall, upturn
la fissure, crack, split, crevice, rift, fracture, windbreaker
le talent, talent, gift, skill, aptitude, ability, clemency
le quartier, neighborhood, district, area, quarter, locality, hooker
la menace, threat, offense, danger, warning, intimidation, breaker
l'oreille, ear, hearing, auricle, lobe, organ of hearing, lunch
le miracle, miracle, wonder, marvel, prodigy, phenomenon, management
la grand-mère, grandmother, grandma, granny, nana, gran, statistics
l'entreprise, firm, company, business, enterprise, corporation, bugle
le gagnant, winner, victor, champion, conqueror, successful person, solicitor
la licence, license, permit, degree, freedom, authorization, formal
l'avantage, advantage, benefit, edge, superiority, perk, snitch
le singe, monkey, ape, primate, imitator, clown, flatbread
le miroir, mirror, looking glass, reflector, reflection, speculum, trauma
le bois, wood, timber, forest, woodland, lumber, chowder
le syndicat, union, trade union, syndicate, association,, boldness
le chrétien, christian, follower of Christ, believer,,, canary
la violence, violence, force, aggression, brutality, intensity, spot
la protection, protection, safeguard, defense, shield, security, moron
le crochet, hook, clasp, crochet, curve, jab, candy
l'enfoiré, motherfucker, bastard, asshole, jerk, prick, representation
la préoccupation, concern, worry, preoccupation, anxiety, issue, normal
l'effet, effect, result, impact, consequence, outcome, ride
le studio, studio, workshop, atelier, recording studio, apartment, wee
la charge, load, burden, charge, responsibility, cargo, cut
le trésor, treasure, hoard, riches, gem, prize, platter
le sortilège, spell, enchantment, magic, curse, charm, screen
le fer, iron, metal, flatiron, strength, firmness, creature
le sauvetage, rescue, salvation, recovery, deliverance, saving, movement
le traitement, treatment, processing, therapy, handling, cure, morning light
le désert, desert, wasteland, wilderness, arid land,, contaminant
le résultat, result, outcome, consequence, score, product, secret
le piano, piano, instrument, keyboard, grand piano,, indigenous
l'amitié, friendship, camaraderie, bond, companionship, affection, crash
le bonbon, candy, sweet, confection, lollipop, treat, ailment
la mariée, bride, newlywed, wife-to-be, bridal,, Italic
la fleur, flower, bloom, blossom, flora, petal, character
l'os, bone, skeleton, remains, framework,, rear
la valeur, value, worth, merit, importance, price, success
le junior, junior, younger, subordinate, minor, youth, pitfall
les restes, remains, leftovers, remnants, relics, residue, people
le métal, metal, alloy, element, ore, mineral, craving
le pourboire, tip, gratuity, baksheesh, extra payment,, magic
les vacances, holiday, vacation, time off, break, leave, flatiron
le taux, rate, ratio, percentage, speed, level, recovery
la performance, performance, show, execution, achievement, efficiency, therapy
le gouverneur, governor, ruler, administrator, leader,, wilderness
le véhicule, vehicle, car, transport, means, conveyance, consequence
le toast, toast, bread, speech, salute, cheers, keyboard
la fierté, pride, self-esteem, dignity, arrogance, satisfaction, bond
le champagne, champagne, sparkling wine, bubbly, celebration drink,, confection
l'étranger, stranger, foreigner, alien, outsider, unknown person, wife-to-be
l'uniforme, uniform, standard, consistent, outfit, dress, blossom
la larme, tear, teardrop, drop, rip, split, remains
le taxi, cab, taxicab, hire car, ride,, merit
la présence, presence, attendance, existence, aura, company, subordinate
le cri, scream, shout, yell, cry, shriek, remnants
la poussière, dust, powder, dirt, particles, grime, element
le bord, edge, border, brink, rim, side,
la sorcière, witch, sorceress, hag, enchantress,,
les médias, media, press, medium, mass media,,
la réclamation, claim, complaint, demand, assertion, request,
le riz, rice, grain, staple food, paddy,,
l'œuf, egg, ovum, spawn, roe,,
le coup, punch, blow, hit, strike, knock,
la distribution, cast, distribution, allocation, spreading,,
l'intelligence, intelligence, intellect, smartness, information, spying,
la vache, cow, cattle, bovine, milker,,
la surface, surface, area, exterior, top, face,
la cigarette, cigarette, smoke, fag, cig,
le destin, destiny, fate, fortune, kismet, doom,
le score, score, result, points, tally, rating,
la technologie, technology, tech, engineering, innovation,,
le dragon, dragon, beast, serpent, wyvern, monster,
le pilote, pilot, aviator, driver, operator, flyer,
le péché, sin, wrongdoing, transgression, vice, fault,
l'empereur, emperor, ruler, sovereign, monarch,,
le but, goal, aim, objective, purpose, target,
la jeunesse, youth, young people, adolescence, freshness,,
le pot, pot, jar, container, cannabis, saucepan,
le loup, wolf, predator, lone wolf, beast,,
le boom, boom, explosion, economic boom, loud sound,,
la rangée, row, line, tier, file, series,
la section, section, part, division, segment, department,
la décharge, dump, landfill, discharge, unloading, relief,
le texte, text, writing, message, script, passage,
le prisonnier, prisoner, inmate, captive, detainee, convict,
le zéro, zero, nought, nothing, nil, cipher,
la roue, wheel, tire, circle, rotation, cycle,
l'échange, exchange, trade, swap, interchange, barter,
la côte, coast, rib, slope, shore, hillside,
le changement, shift, change, alteration, modification, switch,
la cure, cure, treatment, remedy, healing, recovery,
le sacrifice, sacrifice, offering, loss, immolation, surrender,
la bête, beast, animal, brute, creature, fool,
la tarte, pie, tart, cake, flan, pastry,
le matériau, material, substance, stuff, fabric, matter,
la créature, creature, being, animal, monster, entity,
la trace, trace, track, mark, remnant, hint,
le bouton, button, knob, bud, pimple, switch,
l'obscurité, darkness, gloom, obscurity, shadow, night,
l'ambulance, ambulance, emergency vehicle, paramedic van,,,
l'internet, internet, web, net, online world,,
la gamme, range, scale, variety, spectrum, series,
l'expert, expert, specialist, authority, pro, master,
le gel, freeze, frost, jelly, gel, freezing,
la vente, sale, selling, auction, clearance, transaction,
le jus, juice, sap, liquid, extract, power,
la solution, solution, answer, resolution, mixture, fix,
la tour, tower, turn, tour, trick, rotation,
la masse, mass, bulk, crowd, weight, lump,
l'extraterrestre, alien, extraterrestrial, foreigner, outsider,,
l'escalier, stairs, staircase, steps, stairway,,
le fruit, fruit, produce, result, benefit, offspring,
l'espion, spy, agent, mole, informant, operative,
le senior, senior, older, elder, superior, veteran,
le garage, garage, carport, workshop, repair shop,
l'indice, index, clue, hint, sign, indication,
le magazine, magazine, periodical, mandarine, storehouse,
la zone, zone, area, region, sector, district,
l'épaule, shoulder, upper arm, burden, responsibility,,
le progrès, progress, advancement, development, improvement,,
le serpent, snake, serpent, viper, reptile,,
l'effort, effort, attempt, exertion, struggle, endeavor,
l'ascenseur, elevator, lift, hoist,,,
la phrase, sentence, phrase, expression, clause,,
l'équipement, equipment, gear, apparatus, tools, kit,
l'attitude, attitude, posture, mindset, behavior, disposition,
le journal, newspaper, diary, journal, log,,
le mandat, warrant, mandate, term, order, proxy,
le perdant, loser, failure, defeated person, underdog,,
la série, series, sequence, set, chain, succession,
la vision, vision, sight, dream, foresight, apparition,
l'acteur, actor, performer, player, doer, participant,
la malédiction, curse, malediction, hex, jinx, oath,
l'ombre, shadow, shade, darkness, silhouette, ghost,
la passion, passion, fervor, ardor, emotion, obsession,
la route, route, road, way, path, highway,
le reporter, reporter, journalist, correspondent, newscaster,,
l'explosion, explosion, blast, outburst, eruption, detonation,
l'escouade, team, squad,unit, detachment, crew, domain
le royaume, kingdom, realm, monarchy, domain, empire,
l'écran, screen, display, shield, curtain, monitor,
la mode, fashion, mode, manner, style, method,
la vague, wave, surge, billow, undulation, trend,
l'escalade, climb, escalation, scaling, ascent, rock climbing,
le stylo, pen, fountain pen, stylus, writing instrument,,
l'incident, incident, event, occurrence, accident, episode,
le taureau, bull, male cow, Taurus, stock market bull,,
la chaîne, chain, necklace, series, network, channel,
le dispositif, device, mechanism, gadget, apparatus, system,
la dette, debt, obligation, liability, due, arrears,
la campagne, campaign, countryside, drive, effort,,
l'étreinte, hug, embrace, clasp, grip, cuddle,
l'alcool, alcohol, liquor, spirit, booze, ethanol,
la conférence, conference, lecture, meeting, seminar, talk,
l'éducation, education, upbringing, training, schooling, learning,
la politique, politics, policy, political matters, diplomacy,,
le viol, rape, violation, assault, breach,,
la momie, mummy, mom, Egyptian mummy, preserved body,,
la frontière, border, frontier, boundary, limit, edge,
le fil, wire, thread, string, line, yarn,
le prix, prize, price, award, cost, value,
le cercle, circle, ring, group, cycle, society,
l'objet, object, item, thing, purpose, goal,
le vol, robbery, theft, flight, flying, stealing,
le tonnerre, thunder, roar, rumble, boom, clap,
la corde, rope, cord, string, line, cable,
le sel, salt, seasoning, sodium chloride, wit,,
la chair, flesh, meat, pulp, body, carnal,
l'écrivain, writer, author, novelist, scribe, penman,
les déchets, trash, waste, garbage, rubbish, refuse,
la récompense, award, prize, win, bonus,
la gloire, glory, fame, honor, renown, splendor,
l'autorité, authority, power, control, expert, official,
la cour, yard, court, courtyard, royal court, enclosure,
le réservoir, tank, reservoir, container, cistern, fuel tank,
la confiance, trust,confidence, faith, reliance, assurance,
le manque, lack, shortage, deficiency, absence, want,
l'approche, approach, method, way, manner, advance,
le poussin, chick, chicken, young bird, cute person,fish
la poupée, doll, puppet, figurine, toy, mannequin,
le canard, duck, newspaper, false rumor, drake,,
le stock, stock, inventory, shares, supply, broth,
la bibliothèque, library, bookcase, bookshelf, collection,,
l'échec, failure, defeat, setback, flop, miss,
le mouvement, movement, motion, shift, campaign, gesture,
l'arc, arch, curve, arc, rainbow,bow
la queue, tail, line, queue, penis (slang), rear,
le sénateur, senator, lawmaker, legislator, politician,,
le cauchemar, nightmare, bad dream, horror, terror,,
le théâtre, theater, theatre, drama, playhouse, stage,
le sable, sand, grit, beach, desert, hourglass,
la réputation, reputation, repute, standing, name, fame,
le glissement, slip, slide, shift, landslide, error,
le rose, pink, rose flower, rosy, blush,,
la servante, maid, servant, domestic, handmaid,,
l'agence, agency, office, bureau, firm, branch,
l'enfance, childhood, infancy, youth, early years,,
l'opposé, opposite, contrary, reverse, opponent, antithesis,
la politique, policy, politics, political line, course,,
la panique, panic, fear, alarm, hysteria, terror,
la conception, design, conception, idea, creation, plan,
le chat, cat, feline, kitty, tomcat, puss,
la tâche, task, job, duty, assignment, chore,
le bavardage, chatter, gossip, chat, prattle, babble,
la ceinture, belt, sash, girdle, waistband, zone,
la garantie, guarantee, warranty, assurance, security, bond,
le courant, current, stream, flow, electric current, trend,
les ordures, garbage, rubbish, trash, waste, refuse,
la garde, guard, cutody, keeping, protection, watch,
le démon, demon, devil, fiend, evil spirit, imp,
la coïncidence, coincidence, chance, accident, concurrence,,
la tentative, attempt, try, effort, endeavor, trial,
la révolution, revolution, revolt, rotation, upheaval, cycle,
l'accord, agreement, accord, harmony, deal, pact,
l'empire, empire, realm, domain, imperium, power,
le désastre, disaster, catastrophe, calamity, tragedy, fiasco,
l'avance, advance, progress, payment, loan, headway,
la guitare, guitar, axe, string instrument, acoustic, electric,
le détail, detail, particular, item, fine point, trifle,
le comportement, behavior, conduct, demeanour, attitude, manner,
la livraison, delivery, supply, childbirth, handing over,,
la capacité, ability, capacity, capability, volume, skill,
le district, district, area, region, zone, locality,
la chaussure, shoe, footwear, boot, sneaker, pump,
l'esclave, slave, bondsman, serf, thrall, captive,
le lâche, coward, weakling, craven, poltroon, dastard,
le chasseur, hunter, pursuer, fighter plane, chaser, seeker,
la culture, culture, cultivation, civilization, farming, bacteria,
l'explication, explanation, clarification, account, interpretation,,
le comité, committee, board, commission, panel, council,
l'arrière-plan, background, backdrop, setting, context, history,
l'identité, identity, individuality, sameness, ID, personality,
le canal, channel, canal, waterway, duct, medium,
la limite, limit, boundary, border, restriction, edge,
l'espèce, species, kind, sort, type, race,
la lutte, struggle, fight, wrestling, battle, effort,
le masque, mask, disguise, facade, covering, pretense,
la fièvre, fever, temperature, heat, excitement, frenzy,
le prêt, loan, lending, borrowing, ready, prepared,
je pourrai, I will be able to, I can, I could, I was able to, I am going to be able to, you will be able to, he will be able to, she will be able to
tu pourras, you will be able to, you can, you could, you were able to, you are going to be able to, he will be able to, we will be able to, they will be able to
il pourra, he will be able to, he can, he could, he was able to, he is going to be able to, she will be able to, they will be able to, you will be able to
nous pourrons, we will be able to, we can, we could, we were able to, we are going to be able to, you will be able to, they will be able to, I will be able to
vous pourrez, you will be able to, you can, you could, you were able to, you are going to be able to, he will be able to, we will be able to, they will be able to
ils pourront, they will be able to, they can, they could, they were able to, they are going to be able to, he will be able to, she will be able to, you will be able to
le sifflet, whistle, piping, referee whistle, call, hiss,
la punition, punishment, penalty, chastisement, discipline, correction,
la production, production, output, manufacturing, show, yield,
le capital, capital, funds, assets, city, uppercase,
le potentiel, potential, possibility, capability, latent, promise,
le quartier, quarter, neighborhood, district, area, section,
le bol, bowl, basin, dish, cup, serving,
le musée, museum, gallery, exhibition hall, collection,,
l'acclamation, cheer, applause, ovation, acclaim, hurrah,
le plat, dish, plate, course, flat, level,
le placard, closet, cupboard, wardrobe, press, locker,
la saleté, dirt, filth, grime, soil, mess,
la couronne, crown, wreath, tiara, coronet, royalty,
le cri, shout, yell, scream, cry, call,
le gaillard, fella, fellow, lad, guy, strapping man,
le canapé, couch, sofa, settee, divan, chesterfield,
la demande, demand, request, application, inquiry, claim,
le transfert, transfer, movement, conveyance, shift, assignment,
la jointure, joint, junction, seam, articulation, connection,
l'épisode, episode, installment, chapter, incident, event,
le sous-sol, basement, cellar, underground, lower level,,
le romain, roman, from Rome, Roman numeral, ancient Roman,,
l'article, article, item, clause, product, essay,
le guide, guide, leader, manual, handbook, tour guide,
le sandwich, sandwich, filled bread, snack, layered food,,
le flash, flash, burst, news flash, spotlight, sudden light,
le portefeuille, wallet, billfold, portfolio, pocketbook,,
la qualité, quality, standard, grade, property, characteristic,
le concert, concert, performance, harmony, agreement, show,
le chanteur, singer, vocalist, crooner, songster, performer,
la voie, lane, way, path, track, route,
le baseball, baseball, ball game, American sport, diamond game,,
le titre, title, heading, headline, rank, ownership,
le commissaire, commissioner, commissary, police chief, official,,
la charité, charity, benevolence, alms, kindness, mercy,
le drame, drama, play, tragedy, crisis, melodrama,
la cérémonie, ceremony, ritual, rite, formality, observance,
le paquet, package, parcel, bundle, packet, bunch,
l'éclat, shine, brilliance, burst, splinter, sparkle,
le camarade, comrade, companion, fellow, mate, buddy,
l'approvisionnement, supply, provisioning, stock, provision, feeding,
j'ai pu, I was able to, I could, I can, I will be able to, I have been able to, you were able to, he was able to, she was able to
tu as pu, you were able to, you could, you can, you will be able to, you have been able to, he was able to, we were able to, they were able to
il a pu, he was able to, he could, he can, he will be able to, he has been able to, she was able to, they were able to, you were able to
j'ai eu, I had, I have had, I have, I will have, I am going to have, you had, he had, she had
tu as eu, you had, you have had, you have, you will have, you are going to have, he had, we had, they had
il a eu, he had, he has had, he has, he will have, he is going to have, she had, they had, you had
le ton, tone, sound, shade, manner, note,
le client, customer, client, patron, buyer, consumer,
la sueur, sweat, perspiration, toil, effort, exudation,
la possibilité, possibility, chance, opportunity, potential, feasibility,
le drapeau, flag, banner, standard, colors, ensign,
le plastique, plastic, pliable, synthetic material, credit card,,
l'équipement, gear, equipment, kit, outfit, apparatus,
la reddition, surrender, capitulation, yielding, submission,,
l'impression, impression, printing, feeling, mark, opinion,
le soi, self, oneself, ego, identity, being,
le buste, bust, chest, sculpture, bosom, torso,
le serviteur, servant, attendant, retainer, minion, slave,
la salle de sport, gym, gymnasium, fitness center, workout room,,
l'assaut, assault, attack, charge, onset, raid,
la crise, crisis, emergency, critical point, attack, fit,
la collection, collection, gathering, set, anthology, accumulation,
le diamant, diamond, gem, jewel, baseball field, brilliant,
l'adulte, adult, grown-up, mature person, full-grown,,
la bible, bible, holy book, scripture, authority, guide,
la ligue, league, alliance, association, union, confederation,
l'orange, orange, fruit, color, citrus, tangerine,
l'imagination, imagination, fancy, creativity, visualization, invention,
le voisin, neighbor, neighbour, adjacent person, fellow resident,,
l'explosion, blast, explosion, outburst, eruption, detonation,
l'équilibre, balance, equilibrium, poise, stability, counterweight,
le golf, golf, sport, game, links, putting,
la défaite, defeat, loss, beating, failure, rout,
le thème, theme, subject, motif, topic, melody,
le confort, comfort, ease, consolation, luxury, coziness,
la réaction, reaction, response, reply, backlash, chemical reaction,
la légende, legend, caption, myth, story, key,
l'herbe, grass, herb, weed, lawn, pasture,
l'impression, print, printing, impression, mark, edition,
le virus, virus, bug, infection, computer virus, germ,
le lancement, launch, launching, start, introduction, blast-off,
la sirène, siren, mermaid, alarm, whistle, temptress,
l'entrée, entrance, entry, admission, inlet, doorway,
la religion, religion, faith, belief, creed, cult,
le beurre, butter, dairy spread, fat, grease,,
le stress, stress, tension, pressure, strain, emphasis,
la casquette, cap, hat, baseball cap, kepi, beret,
la chauve-souris, bat, flying mammal, club, racket,,
le mélange, mix, mixture, blend, combination, medley,
la torture, torture, torment, agony, cruelty, persecution,
le pont, bridge, platform, floor,kepi,post
le lapin, rabbit, bunny, hare, coney,mark,
l'option, option, choice, alternative, right, feature,
l'accent, accent, stress, pronunciation, emphasis, mark,
la taxe, tax, duty, levy, fee, imposition,rip
la déchirure, tear, rip, rent, laceration, split,lead
le bourgeon, bud, sprout, shoot, germ, blossom,
la thérapie, therapy, treatment, cure, healing, psychotherapy,
la vie, lifetime, life, existence, biography, vitality,
béguin, crush, infatuation, fancy, liking, flame,
le champion, champion, winner, titleholder, victor, defender,
le crâne, skull, cranium, head, death's head, bone,
la version, version, edition, variant, interpretation, rendering,
la maîtresse, mistress, lover, teacher, headmistress, owner,
le carburant, fuel, petrol, gasoline, propellant,,
le terme, term, word, period, end, condition,
le lien, link, tie, connection, relationship,bond
la plaine, plain, flatland, prairie, level ground,,
l'expérience, experiment, experience, trial, test, background,
le moine, monk, friar, brother, religious, ascetic,
le lion, lion, big cat, king of beasts, celebrity, star,
le gamin, kid, garmin, urchin, youngster, game
l'exercice, exercise, practice, drill, workout, training,
la bourse, purse, scholarship, stock exchange, bag,,
la grotte, cave, cavern, grotto, den, hollow,
le standard, standard, norm, level, criterion, flag,
le tunnel, tunnel, underpass, subway, burrow, passage,
l'acier, steel, metal, strength, resolve, blade,
la division, division, split, department, section, math operation,
le mouton, sheep, mutton, lamb, follower, flock animal,
le classique, classic, classical, traditional, standard, timeless,
le neveu, nephew, brother's son, sister's son, relative,,
la sauce, sauce, gravy, dressing, condiment, dip,
l'influence, influence, effect, sway, power, impact,
le réseau, network, net, web, system, grid,
le concours, competition, examination, help, aid,contest,
la cabane, cabin, hut, shack, cottage, shed,
la jungle, jungle, rainforest, thicket, chaos, wild place,
le vampire, vampire, bloodsucker, undead, bat-like creature,,
la sortie, exit, way out, outing, release, departure,
le crachat, spit, spittle, saliva, expectoration,,
la génération, generation, age group, production, creation,,
le cristal, crystal, glass, gem, quartz, clear mineral,
le statut, status, standing, position, state, rank,
le degré, degree, level, extent, grade, temperature,
