cet, этот, тот, данный, указанный, конкретный, такой
repartir, отправляться снова, уезжать вновь, начинать заново, продолжать путь, возобновлять движение, пускаться в путь
retourner, возвращаться, поворачивать обратно, идти назад, переворачивать, возвращать, возвращаться домой
recommencer, начинать заново, возобновлять, повторять, переделывать, начинать снова, возрождать
répéter, повторять, повторять снова, репетировать, дублировать, воспроизводить, говорить вновь
réitérer, повторять, повторять снова, возобновлять, подчёркивать, делать повторно, утверждать вновь
renouveler, обновлять, возобновлять, продлевать, освежать, заменять, повторять
remplacer, заменять, замещать, подменять, сменять, ставить вместо, замещать собой
substituer, замещать, подставлять, заменять, ставить вместо, заменять собой, вводить взамен
échange, обмен, мена, торговля, замена, перестановка, взаимный обмен
troquer, обменивать, менять, торговать, бартерить, выменивать, производить обмен
négocier, вести переговоры, договариваться, торговаться, обсуждать условия, заключать сделку, вести беседу
marchander, торговаться, сбивать цену, вести торг, договариваться о цене, спорить о цене, выторговывать
debattre, обсуждать, спорить, дискутировать, вести дебаты, полемизировать, аргументировать
disputer, спорить, оспаривать, ссориться, вести спор, соревноваться, конкурировать
contester, оспаривать, подвергать сомнению, протестовать, спорить, не соглашаться, опровергать
contredire, противоречить, возражать, опровергать, перечить, не соглашаться, выступать против
réfuter, опровергать, отвергать, доказывать ложность, разбивать, отрицать, дезавуировать
rejeter, отвергать, отказывать, отклонять, отбрасывать, не принимать, сбрасывать
refuser, отказывать, отвергать, не соглашаться, отклонять, не принимать, сопротивляться
décliner, отклонять, отказываться, уменьшаться, угасать, ослабевать, спадать
repousser, отталкивать, отвергать, откладывать, отодвигать, отказывать, отбрасывать
éloigner, отдалять, отодвигать, удалять, разъединять, отстранять, держать на расстоянии
écarter, отстранять, раздвигать, исключать, отодвигать, разъединять, отбрасывать
isoler, изолировать, отделять, обособлять, отгораживать, карантинировать, отрезать
exclure, исключать, отстранять, не включать, вычёркивать, устранять, отбрасывать
omettre, опускать, пропускать, забывать, не включать, игнорировать, упускать
sauter, пропускать, прыгать, перепрыгивать, опускать, перескакивать, игнорировать
passer, проходить, проходить мимо, пропускать, передавать, тратить, переходить
franchir, пересекать, преодолевать, перешагивать, переходить, переступать, миновать
traverser, пересекать, проходить через, проезжать, пробираться, преодолевать, переходить
parcourir, проходить, пробегать, обследовать, просматривать, покрывать расстояние, путешествовать
explorer, исследовать, изучать, обследовать, открывать, осматривать, зондировать
prospecter, исследовать, искать, разведывать, осматривать, зондировать, проводить разведку
sonder, зондировать, исследовать, прощупывать, опрашивать, изучать, проверять
tâter, ощупывать, пробовать, проверять, прощупывать, касаться, исследовать на ощупь
palper, ощупывать, пальпировать, прощупывать, касаться, исследовать руками, проверять
manipuler, манипулировать, обращаться, управлять, обрабатывать, трогать, пользоваться
manier, обращаться, владеть, управлять, работать, пользоваться, манипулировать
utiliser, использовать, применять, употреблять, пользоваться, задействовать, применять на практике
employer, употреблять, использовать, нанимать, применять, задействовать, эксплуатировать
se servir de, пользоваться, использовать, применять, прибегать, задействовать, обращаться
profiter de, пользоваться, извлекать пользу, использовать, выгадывать, извлекать выгоду, брать преимущество
bénéficier de, получать пользу, выигрывать, пользоваться, иметь преимущество, извлекать выгоду, наслаждаться
jouir de, наслаждаться, пользоваться, владеть, иметь, обладать, радоваться
posséder, владеть, обладать, иметь, распоряжаться, держать, принадлежать
détenir, держать, владеть, обладать, удерживать, иметь в распоряжении, сохранять
disposer de, располагать, иметь в распоряжении, владеть, пользоваться, обладать, контролировать
contrôler, контролировать, проверять, управлять, регулировать, надзирать, инспектировать
vérifier, проверять, контролировать, подтверждать, удостоверять, инспектировать, тестировать
confirmer, подтверждать, заверять, удостоверять, подкреплять, утверждать, верифицировать
valider, подтверждать, утверждать, одобрять, легитимировать, признавать действительным, ратифицировать
autoriser, разрешать, позволять, санкционировать, давать право, одобрять, уполномочивать
habiliter, уполномочивать, давать право, наделять полномочиями, разрешать, квалифицировать, аккредитовать
qualifier, квалифицировать, характеризовать, описывать, определять, называть, оценивать
caractériser, характеризовать, описывать, определять, выделять черты, отличать, обозначать
définir, определять, давать определение, уточнять, устанавливать, описывать, формулировать
spécifier, уточнять, конкретизировать, определять, детализировать, указывать точно, прописывать
préciser, уточнять, конкретизировать, прояснять, детализировать, дополнять, разъяснять
détailler, детализировать, описывать подробно, перечислять, расписывать, раскрывать детали, перечислять подробно
énumérer, перечислять, перечислять по пунктам, называть, перебирать, перечислять последовательно, перечислять все
lister, перечислять, составлять список, вносить в список, регистрировать, перечислять пункты, каталогировать
recenser, переписывать, учитывать, проводить перепись, регистрировать, подсчитывать, инвентаризировать  
l'argent, деньги, финансы, капитал, средства, наличность, сбережения
la monnaie, мелочь, разменные деньги, монеты, сдача, наличные мелкие, копейки
le billet, банкнота, купюра, бумажные деньги, билет, ассигнация, денежная бумага
la pièce, монета, металлическая монета, денежная единица, кусок, деталь, элемент
le portefeuille, кошелёк, бумажник, портмоне, держатель карт, денежный портфель, сумка для денег
le porte-monnaie, кошелёк для мелочи, маленький кошелёк, монетница, сумочка для монет, мелкий кошелёк, портмоне для сдачи
le compte, счёт, банковский счёт, учёт, подсчёт, баланс, расчёт
le solde, остаток, баланс, сальдо, распродажа, итог, конечная сумма
le revenu, доход, заработок, поступление, прибыль, выручка, финансовое поступление
le salaire, зарплата, оклад, заработная плата, жалованье, месячный заработок, вознаграждение
le bénéfice, прибыль, выгода, доход, преимущество, барыш, финансовая выгода
la perte, убыток, потеря, ущерб, дефицит, утрата, финансовый минус
le prix, цена, стоимость, расценка, тариф, награда, ценник
le coût, стоимость, затраты, издержки, цена, расход, себестоимость
la dépense, расход, трата, издержки, затраты, потребление, финансовый отток
la facture, счёт, инвойс, квитанция, накладная, расчётный документ, платёжный документ
le reçu, квитанция, чек, подтверждение, расписка, доказательство оплаты, талон
le ticket, билет, чек, талон, квиток, проездной, входной документ
le coupon, купон, талон, ваучер, скидочный купон, отрывной талон, промо-код
la réduction, скидка, уменьшение, снижение, уценка, льгота, дисконт
la remise, скидка, уступка, возврат, передача, rebate, снижение цены
la promotion, акция, продвижение, распродажа, специальное предложение, скидочная кампания, маркетинговая акция
les soldes, распродажа, сезонная распродажа, уценка, скидки, clearance, ликвидация
l'offre, предложение, оферта, сделка, специальное предложение, вариант, коммерческое предложение
la demande, спрос, запрос, заявка, требование, обращение, нужда
l'achat, покупка, приобретение, приобретённый товар, шопинг, расход на покупку, сделка купли
la vente, продажа, реализация, торговля, сбыт, коммерческая операция, отчуждение
le commerce, торговля, коммерция, бизнес, магазин, дело, предпринимательство
le marché, рынок, базар, торговый рынок, сбыт, площадка, конъюнктура
le client, клиент, покупатель, заказчик, посетитель, потребитель, постоянный клиент
le consommateur, потребитель, покупатель, пользователь, конечный потребитель, клиент рынка, расходователь
le fournisseur, поставщик, продавец, производитель, источник, контрагент, снабженец
le vendeur, продавец, торговец, консультант, реализатор, работник прилавка, сбытовик
le caissier, кассир, кассовый работник, оператор кассы, сборщик денег, кассирша, сотрудник кассы
la caisse, касса, кассовый аппарат, кассовый ящик, кассовый отдел, денежный ящик, место оплаты
le panier, корзина, корзинка, тележка, контейнер для покупок, покупательская корзина, сумка
le chariot, тележка, магазинная тележка, вагонетка, транспортная тележка, колёсная корзина, перевозчик
le sac, сумка, пакет, мешок, хозяйственная сумка, полиэтиленовый пакет, авоська
le paquet, пакет, свёрток, упаковка, посылка, тюк, бандероль
l'emballage, упаковка, обёртка, тара, упаковочный материал, внешняя оболочка, защитная упаковка
la marque, бренд, марка, логотип, торговая марка, фирменный знак, этикетка
la qualité, качество, сорт, уровень, свойство, добротность, характеристика
la quantité, количество, объём, число, масса, порция, величина
la taille, размер, величина, рост, габариты, масштаб, мерка
la pointure, размер обуви, номер обуви, величина ступни, размер ноги, мерка для туфель, обувной размер
l'essayage, примерка, примеривание, тестирование, проба, фитинг, проверка на себе
la cabine d'essayage, примерочная, примерочная кабина, кабинка для примерки, зона примерки, фитинг-рум, раздевалка
le miroir, зеркало, отражающая поверхность, отражение, стекло, смотровое зеркало, рефлектор  cher, дорогой, дорогостоящий, ценный, высокий по цене, премиальный, недешёвый
coûteux, дорогостоящий, затратный, высокий по стоимости, ценный, требующий расходов, роскошный
bon marché, дешёвый, недорогой, доступный, бюджетный, выгодный, экономный
inexpensif, недорогой, дешёвый, доступный, бюджетный, экономичный, низкозатратный
gratuit, бесплатный, дармовой, безвозмездный, комплиментарный, нулевой, свободный
libre, свободный, доступный, незанятый, открытый, вольный, незаполненный
disponible, доступный, имеющийся, свободный, готовый, в наличии, наличный
en stock, в наличии, на складе, доступный, готовый к продаже, запасённый, имеющийся на складе
en rupture, отсутствует, распродано, нет в наличии, закончено, дефицит, закончился  commander, заказывать, делать заказ, требовать, поручать, бронировать, оформлять
réserver, бронировать, резервировать, сохранять, заказывать заранее, удерживать, закреплять
annuler, отменять, аннулировать, отзывать, прекращать, ликвидировать, снимать
confirmer, подтверждать, утверждать, заверять, закреплять, ратифицировать, верифицировать
payer, платить, оплачивать, рассчитываться, вносить плату, расплачиваться, покрывать
régler, оплачивать, улаживать, регулировать, рассчитываться, завершать расчёт, фиксировать
rembourser, возвращать деньги, возмещать, компенсировать, отдавать долг, рефинансировать, выплачивать обратно
créditer, зачислять, кредитовать, добавлять на счёт, пополнять, начислять, вносить
débiter, списывать, дебетовать, снимать со счёта, вычитать, удерживать, уменьшать
verser, вносить, перечислять, наливать, депонировать, вкладывать, зачислять
retirer, снимать, извлекать, выводить, забирать, вытаскивать, отзывать
épargner, экономить, сберегать, копить, накапливать, сохранять, откладывать
placer, размещать, инвестировать, вкладывать, ставить, располагать, помещать
investir, инвестировать, вкладывать, помещать капитал, тратить, вносить средства, финансировать
emprunter, занимать, брать в долг, одалживать, пользоваться, копировать, перенимать
rembourser, возвращать долг, погашать, компенсировать, выплачивать, отдавать, рефинансировать
la dette, долг, задолженность, обязательство, заём, кредиторская задолженность, финансовое обязательство
le crédit, кредит, заём, доверие, рассрочка, финансовая поддержка, ссуда
l'intérêt, процент, интерес, выгода, ставка, польза, доходность
le taux, ставка, коэффициент, процент, уровень, соотношение, тариф
le pourcentage, процент, доля, соотношение, часть, пропорция, процентное содержание
l'impôt, налог, сбор, пошлина, отчисление, обязательный платёж, фискальный взнос
la taxe, налог, пошлина, сбор, плата, дополнительный налог, фискальный взнос
exonéré, освобождённый от налогов, безналоговый, льготный, свободный от сборов, не облагаемый, привилегированный
déclarer, декларировать, заявлять, сообщать, объявлять, отчитываться, оформлять декларацию
le formulaire, бланк, форма, анкета, документ, заявление, опросный лист
remplir, заполнять, наполнять, выполнять, завершать, вписывать, вносить данные
signer, подписывать, ставить подпись, заверять, расписываться, скреплять подписью, визировать
la signature, подпись, автограф, заверение, роспись, печать, официальная подпись
le cachet, печать, штамп, оттиск, штемпель, марка, официальная печать
le sceau, печать, гербовая печать, оттиск, эмблема, официальный знак, государственная печать
l'heure, час, время, час дня, момент, период, временной отрезок
la minute, минута, мгновение, короткий промежуток, 60 секунд, момент времени, короткое время
la seconde, секунда, мгновение, кратчайший момент, доля секунды, очень короткое время, момент
le quart, четверть, 15 минут, четвёртая часть, порция, сегмент, четверть часа
la demi-heure, полчаса, 30 минут, половина часа, средний промежуток, тридцатиминутный период, половина
trois quarts, три четверти, 45 минут, 75 процентов, большая часть, три четвёртых, почти полный
midi, полдень, 12 часов дня, обеденное время, середина дня, дневной пик, 12:00
minuit, полночь, 12 часов ночи, ночное время, середина ночи, тёмное время, 00:00
le matin, утро, утреннее время, ранний день, начало дня, рассветный период, первая половина дня
l'après-midi, послеполуденное время, день, вторая половина дня, после обеда, дневное время, полдень и позже
le soir, вечер, вечернее время, сумерки, конец дня, ночной период, закатное время
la nuit, ночь, ночное время, тёмное время суток, период сна, тёмная часть дня, ночные часы
tôt, рано, преждевременно, заблаговременно, в ранний час, раньше срока, на рассвете
tard, поздно, с опозданием, в поздний час, после срока, задержанно, в вечернее время
à l'heure, вовремя, точно, пунктуально, по расписанию, в назначенное время, своевременно
en avance, заранее, раньше времени, заблаговременно, вперёд, преждевременно, с запасом
en retard, с опозданием, поздно, задержанно, отставая, после срока, с запозданием
ponctuel, пунктуальный, точный, своевременный, аккуратный, в срок, обязательный
durable, долговечный, прочный, устойчивый, длительный, надёжный, долгосрочный
temporaire, временный, краткосрочный, промежуточный, непостоянный, преходящий, сезонный
permanent, постоянный, непрерывный, долговременный, устойчивый, фиксированный, перманентный
continu, непрерывный, постоянный, сплошной, безостановочный, длительный, последовательный
interrompu, прерванный, прерывистый, остановленный, нарушенный, временно прекращённый, сбитый
fréquent, частый, регулярный, распространённый, обычный, повторяющийся, привычный
rare, редкий, необычный, малораспространённый, исключительный, нечастый, уникальный
occasionnel, случайный, эпизодический, нерегулярный, временный, спорадический, от случая к случаю
habituel, привычный, обычный, регулярный, повседневный, стандартный, типичный
courant, текущий, обычный, распространённый, повседневный, нормальный, стандартный
actuel, текущий, настоящий, современный, актуальный, сегодняшний, реальный
passé, прошлый, минувший, предыдущий, бывший, исторический, ушедший
futur, будущий, предстоящий, грядущий, следующий, перспективный, ожидаемый
prochain, следующий, ближайший, предстоящий, будущий, очередной, грядущий
précédent, предыдущий, предшествующий, бывший, ранний, прежний, предшествующий
dernier, последний, крайний, финальный, заключительный, недавний, завершающий
premier, первый, начальный, исходный, ведущий, первичный, стартовый
ultime, последний, конечный, крайний, окончательный, финальный, предельный
final, финальный, заключительный, конечный, итоговый, завершающий, последний
initial, начальный, исходный, первоначальный, стартовый, первичный, вводный
original, оригинальный, подлинный, уникальный, творческий, аутентичный, настоящий
authentique, подлинный, аутентичный, настоящий, истинный, оригинальный, неподдельный
véritable, настоящий, истинный, подлинный, реальный, неподдельный, фактический
vrai, истинный, настоящий, правильный, верный, реальный, правдивый
faux, ложный, неправильный, фальшивый, ошибочный, поддельный, неверный
correct, правильный, верный, точный, корректный, надлежащий, безошибочный
incorrect, неправильный, ошибочный, неверный, некорректный, неточный, ложный
juste, справедливый, верный, точный, правильный, обоснованный, честный
injuste, несправедливый, неправый, необоснованный, неверный, предвзятый, неправильный
équitable, справедливый, беспристрастный, равноправный, честный, сбалансированный, объективный
partial, пристрастный, предвзятый, односторонний, необъективный, несправедливый, тенденциозный
impartial, беспристрастный, объективный, нейтральный, справедливый, непредвзятый, равный
objectif, объективный, беспристрастный, фактический, нейтральный, реальный, целевой
subjectif, субъективный, личный, основанный на мнении, предвзятый, индивидуальный, эмоциональный
neutre, нейтральный, беспристрастный, средний, объективный, равнодушный, незаинтересованный
indifférent, безразличный, равнодушный, апатичный, нейтральный, незаинтересованный, холодный
passionné, страстный, увлечённый, горячий, восторженный, пылкий, энтузиастичный
enthousiaste, восторженный, увлечённый, полный энтузиазма, оптимистичный, горячий, вдохновлённый
motivé, мотивированный, целеустремлённый, вдохновлённый, заинтересованный, активный, движимый
démotivé, демотивированный, разочарованный, потерявший интерес, апатичный, обескураженный, пассивный
découragé, обескураженный, разочарованный, подавленный, потерявший мотивацию, упавший духом, угнетённый
optimiste, оптимистичный, позитивный, надеющийся, бодрый, уверенный в лучшем, жизнерадостный
pessimiste, пессимистичный, негативный, мрачный, сомневающийся, унылый, безнадёжный
réaliste, реалистичный, практичный, трезвый, объективный, здравомыслящий, прагматичный
idéaliste, идеалистичный, мечтательный, утопичный, романтичный, возвышенный, нереалистичный
pragmatique, прагматичный, практичный, деловой, реалистичный, целесообразный, рациональный
théorique, теоретический, абстрактный, умозрительный, научный, концептуальный, гипотетический
pratique, практичный, полезный, прикладной, удобный, действенный, реальный
utile, полезный, нужный, выгодный, практичный, ценный, функциональный
inutile, бесполезный, ненужный, напрасный, тщетный, бессмысленный, никчёмный
efficace, эффективный, действенный, продуктивный, результативный, компетентный, успешный
inefficace, неэффективный, бесполезный, непродуктивный, нерезультативный, слабый, бесплодный
compétent, компетентный, квалифицированный, умелый, способный, профессиональный, знающий
incompétent, некомпетентный, неквалифицированный, неспособный, неумелый, неопытный, слабый
qualifié, квалифицированный, подготовленный, компетентный, профессиональный, сертифицированный, опытный
habile, ловкий, умелый, искусный, ловкий в деле, мастеровитый, находчивый
maladroit, неуклюжий, неловкий, неумелый, нескладный, нерасторопный, неопытный
adroit, ловкий, умелый, искусный, проворный, мастерский, находчивый
prudent, осторожный, благоразумный, предусмотрительный, расчётливый, бережливый, осмотрительный
imprudent, неосторожный, опрометчивый, безрассудный, рискованный, легкомысленный, нерасчётливый
sage, мудрый, разумный, благоразумный, рассудительный, опытный, спокойный
fou, безумный, сумасшедший, безрассудный, дикий, помешанный, безумный
dingue, сумасшедший, безумный, чокнутый, дикий, ненормальный, психический
bizarre, странный, необычный, причудливый, эксцентричный, чудной, удивительный
étrange, странный, необычный, загадочный, чудной, удивительный, непривычный
curieux, любопытный, любознательный, странный, интересный, необычный, пытливый
indiscret, нескромный, бестактный, любопытный, навязчивый, неосторожный, болтливый
discret, скромный, тактичный, сдержанный, незаметный, осторожный, тихий
timide, застенчивый, робкий, скромный, неуверенный, пугливый, стеснительный
audacieux, смелый, дерзкий, отважный, решительный, рискованный, храбрый
courageux, мужественный, храбрый, отважный, смелый, бесстрашный, доблестный
lâche, трусливый, малодушный, слабовольный, подлый, боязливый, трус
brave, храбрый, смелый, мужественный, отважный, доблестный, героический
peureux, боязливый, трусливый, пугливый, робкий, опасливый, нерешительный
anxieux, тревожный, беспокойный, взволнованный, нервный, озабоченный, напряжённый
serein, безмятежный, спокойный, умиротворённый, ясный, тихий, невозмутимый
agité, возбуждённый, беспокойный, взволнованный, нервный, суетливый, неспокойный
calme, спокойный, тихий, уравновешенный, мирный, безмятежный, хладнокровный
tranquille, спокойный, тихий, мирный, безмятежный, невозмутимый, расслабленный
paisible, мирный, спокойный, безмятежный, тихий, гармоничный, благостный
violent, жестокий, насильственный, бурный, агрессивный, сильный, яростный
doux, мягкий, нежный, кроткий, ласковый, приятный, спокойный
dur, жёсткий, твёрдый, суровый, тяжёлый, трудный, строгий
tendre, нежный, мягкий, ласковый, чувствительный, добрый, сердечный
cruel, жестокий, безжалостный, беспощадный, злой, бессердечный, варварский
compatissant, сострадательный, сочувствующий, милосердный, empathetic, отзывчивый, добросердечный
indulgent, снисходительный, мягкий, терпимый, милостивый, нестрогий, великодушный
sévère, строгий, суровый, жёсткий, требовательный, неумолимый, серьёзный
strict, строгий, точный, жёсткий, неукоснительный, дисциплинированный, принципиальный
flexible, гибкий, податливый, адаптивный, эластичный, уступчивый, пластичный
rigide, жёсткий, негибкий, твёрдый, строгий, неподатливый, неуступчивый
souple, гибкий, мягкий, эластичный, подвижный, пластичный, уступчивый
raide, жёсткий, негнущийся, прямой, негибкий, напряжённый, скованный  
le voyage, путешествие, поездка, тур, странствие, путь, вояж
le séjour, пребывание, нахождение, визит, период проживания, остановка, проживание
le départ, отъезд, отправление, старт, уход, выезд, начало пути
l'arrivée, прибытие, приезд, приход, достижение, появление, финиш
le vol, полёт, рейс, авиаперелёт, авиарейс, воздушный перелёт, перелёт самолётом
l'escale, пересадка, остановка, промежуточная посадка, транзит, пауза в пути, стоянка
la correspondance, стыковка, пересадка, соединение, связь рейсов, переход, трансфер
l'embarquement, посадка, погрузка, вход на борт, регистрация на посадку, начало полёта, boarding
le débarquement, высадка, разгрузка, выход, прибытие на землю, окончание полёта, десантирование
la porte d'embarquement, выход на посадку, гейт, ворота посадки, терминал посадки, зона посадки, посадочный выход
la piste, взлётно-посадочная полоса, дорожка, трек, трасса, полоса для взлёта, runway
le décollage, взлёт, отрыв от земли, начало полёта, старт в воздух, подъем, отрыв
l'atterrissage, посадка, приземление, касание земли, завершение полёта, спуск, touchdown
la cabine, кабина, салон, отсек, внутреннее пространство, пассажирский салон, помещение
le siège, сиденье, кресло, место, посадочное место, стул, позиция
la ceinture de sécurité, ремень безопасности, страховочный ремень, привязной ремень, защитный ремень, фиксатор, пояс безопасности
le hublot, иллюминатор, окно самолёта, смотровое окно, стекло кабины, вид из иллюминатора, бортовое окно
l'hôtesse de l'air, стюардесса, бортпроводница, член экипажа, обслуживающий персонал в воздухе, авиахозяйка, проводница
le personnel de bord, экипаж, бортовая команда, персонал самолёта, обслуживающий состав, команда на борту, авиаперсонал
la douane, таможня, таможенный контроль, пограничный досмотр, таможенная служба, проверка на границе, таможенный пункт
le passeport, паспорт, заграничный паспорт, документ личности, удостоверение, проездной документ, идентификатор
le visa, виза, въездное разрешение, разрешение на въезд, штамп, визовый документ, допуск
la déclaration, декларация, заявление, отчёт, таможенная декларация, объявление, сообщение
les bagages, багаж, чемоданы, вещи в дорогу, груз, поклажа, дорожные сумки
la valise, чемодан, дорожный чемодан, багажный чемодан, саквояж, кофр, большой чемодан
le bagage à main, ручная кладь, carry-on, небольшой багаж, салонный багаж, сумка в салон, личные вещи
la soute, багажный отсек, грузовой отсек, трюм, багажное отделение, нижний отсек, cargo
l'enregistrement, регистрация, чек-ин, оформление, запись, регистрация багажа, процедура оформления
la carte d'embarquement, посадочный талон, boarding pass, пропуск на борт, билет на посадку, карточка посадки, разрешение на вход
le terminal, терминал, аэровокзал, здание аэропорта, конечный пункт, зона прилёта, аэропортовый комплекс
la navette, шаттл, автобус-трансфер, челнок, транспорт между терминалами, рейсовый автобус, перевозчик
le taxi, такси, аэропортовое такси, легковое такси, служба такси, наёмный автомобиль, пассажирский транспорт
l'hôtel, отель, гостиница, место проживания, lodging, туристический отель, дом для гостей
la réservation, бронирование, бронь, предварительный заказ, резервирование, удержание, закрепление
la chambre, номер, комната, спальня, гостиничный номер, помещение, жилое пространство
la suite, люкс, номер люкс, апартаменты, улучшенный номер, представительский номер, большой номер
la réception, рецепция, стойка регистрации, администрация, фронт-деск, приветствие, регистратура
le réceptionniste, администратор, портье, сотрудник рецепции, регистратор, дежурный, работник стойки
la clé, ключ, карточка-ключ, доступ, электронный ключ, открывающий предмет, код доступа
la carte magnétique, магнитная карта, ключ-карта, электронный пропуск, карта доступа, пластиковый ключ, карточка номера
l'ascenseur, лифт, подъёмник, вертикальный транспорт, кабина лифта, пассажирский лифт, elevator
l'escalier, лестница, ступеньки, пролёт, подъём по лестнице, марш, вертикальный проход
le couloir, коридор, проход, галерея, внутренний коридор, холл, переход
